Cycle: (Cycle #)
Experiment #: 6
Proposal ID: 31767
Instrument: HB2D
Experiment Title: Spin textured beam
Session Start Time: 08/29/2023  03:46:48 PM

Parameters Logged:
Device Name	Timestamp	Value
nu_1_current	08/29/2023  04:02:51 PM	0.0027
ac_1_current	08/29/2023  04:02:51 PM	-0.0005
prism_current	08/29/2023  04:02:51 PM	0.0014
nu_2_current	08/29/2023  04:02:51 PM	-0.0018
ac_2_current	08/29/2023  04:02:51 PM	0.0006
nu_3_current	08/29/2023  04:02:51 PM	-0.0006
nu_1_current	08/29/2023  04:03:51 PM	0.0027
ac_1_current	08/29/2023  04:03:51 PM	-0.0005
prism_current	08/29/2023  04:03:51 PM	0.0015
nu_2_current	08/29/2023  04:03:51 PM	-0.0018
ac_2_current	08/29/2023  04:03:51 PM	0.0006
nu_3_current	08/29/2023  04:03:51 PM	-0.0006
nu_1_current	08/29/2023  04:04:51 PM	0.0027
ac_1_current	08/29/2023  04:04:51 PM	-0.0005
prism_current	08/29/2023  04:04:51 PM	0.0015
nu_2_current	08/29/2023  04:04:51 PM	-0.0018
ac_2_current	08/29/2023  04:04:51 PM	0.0006
nu_3_current	08/29/2023  04:04:51 PM	-0.0006
nu_1_current	08/29/2023  04:05:51 PM	0.0027
ac_1_current	08/29/2023  04:05:51 PM	-0.0006
prism_current	08/29/2023  04:05:51 PM	0.0015
nu_2_current	08/29/2023  04:05:51 PM	-0.0018
ac_2_current	08/29/2023  04:05:51 PM	0.0006
nu_3_current	08/29/2023  04:05:51 PM	-0.0005
nu_1_current	08/29/2023  04:06:51 PM	0.0027
ac_1_current	08/29/2023  04:06:51 PM	-0.0005
prism_current	08/29/2023  04:06:51 PM	0.0015
nu_2_current	08/29/2023  04:06:51 PM	-0.0018
ac_2_current	08/29/2023  04:06:51 PM	0.0007
nu_3_current	08/29/2023  04:06:51 PM	-0.0005
nu_1_current	08/29/2023  04:07:51 PM	0.0027
ac_1_current	08/29/2023  04:07:51 PM	-0.0006
prism_current	08/29/2023  04:07:51 PM	0.0015
nu_2_current	08/29/2023  04:07:51 PM	-0.0018
ac_2_current	08/29/2023  04:07:51 PM	0.0006
nu_3_current	08/29/2023  04:07:51 PM	-0.0005
nu_1_current	08/29/2023  04:08:51 PM	0.0027
ac_1_current	08/29/2023  04:08:51 PM	-0.0006
prism_current	08/29/2023  04:08:51 PM	0.0015
nu_2_current	08/29/2023  04:08:51 PM	-0.0018
ac_2_current	08/29/2023  04:08:51 PM	0.0007
nu_3_current	08/29/2023  04:08:51 PM	-0.0006
nu_1_current	08/29/2023  04:09:51 PM	0.0027
ac_1_current	08/29/2023  04:09:51 PM	-0.0006
prism_current	08/29/2023  04:09:51 PM	0.0014
nu_2_current	08/29/2023  04:09:51 PM	-0.0018
ac_2_current	08/29/2023  04:09:51 PM	0.0007
nu_3_current	08/29/2023  04:09:51 PM	-0.0006
nu_1_current	08/29/2023  04:10:51 PM	0.0027
ac_1_current	08/29/2023  04:10:51 PM	-0.0005
prism_current	08/29/2023  04:10:51 PM	0.0015
nu_2_current	08/29/2023  04:10:51 PM	-0.0018
ac_2_current	08/29/2023  04:10:51 PM	0.0006
nu_3_current	08/29/2023  04:10:51 PM	-0.0005
nu_1_current	08/29/2023  04:11:51 PM	0.0027
ac_1_current	08/29/2023  04:11:51 PM	-0.0005
prism_current	08/29/2023  04:11:51 PM	0.0015
nu_2_current	08/29/2023  04:11:51 PM	-0.0018
ac_2_current	08/29/2023  04:11:51 PM	0.0006
nu_3_current	08/29/2023  04:11:51 PM	-0.0005
nu_1_current	08/29/2023  04:12:51 PM	0.0027
ac_1_current	08/29/2023  04:12:51 PM	-0.0005
prism_current	08/29/2023  04:12:51 PM	0.0015
nu_2_current	08/29/2023  04:12:51 PM	-0.0018
ac_2_current	08/29/2023  04:12:51 PM	0.0007
nu_3_current	08/29/2023  04:12:51 PM	-0.0006
nu_1_current	08/29/2023  04:13:51 PM	0.0027
ac_1_current	08/29/2023  04:13:51 PM	-0.0005
prism_current	08/29/2023  04:13:51 PM	0.0015
nu_2_current	08/29/2023  04:13:51 PM	-0.0017
ac_2_current	08/29/2023  04:13:51 PM	0.0006
nu_3_current	08/29/2023  04:13:51 PM	-0.0005
nu_1_current	08/29/2023  04:14:51 PM	0.0026
ac_1_current	08/29/2023  04:14:51 PM	-0.0005
prism_current	08/29/2023  04:14:51 PM	0.0015
nu_2_current	08/29/2023  04:14:51 PM	-0.0018
ac_2_current	08/29/2023  04:14:51 PM	0.0007
nu_3_current	08/29/2023  04:14:51 PM	-0.0005
nu_1_current	08/29/2023  04:15:51 PM	0.0027
ac_1_current	08/29/2023  04:15:51 PM	-0.0005
prism_current	08/29/2023  04:15:51 PM	0.0015
nu_2_current	08/29/2023  04:15:51 PM	-0.0018
ac_2_current	08/29/2023  04:15:51 PM	0.0006
nu_3_current	08/29/2023  04:15:51 PM	-0.0006
nu_1_current	08/29/2023  04:16:51 PM	0.0027
ac_1_current	08/29/2023  04:16:51 PM	-0.0005
prism_current	08/29/2023  04:16:51 PM	0.0015
nu_2_current	08/29/2023  04:16:51 PM	-0.0017
ac_2_current	08/29/2023  04:16:51 PM	0.0007
nu_3_current	08/29/2023  04:16:51 PM	-0.0005
nu_1_current	08/29/2023  04:17:51 PM	0.0027
ac_1_current	08/29/2023  04:17:51 PM	-0.0005
prism_current	08/29/2023  04:17:51 PM	0.0015
nu_2_current	08/29/2023  04:17:51 PM	-0.0017
ac_2_current	08/29/2023  04:17:51 PM	0.0007
nu_3_current	08/29/2023  04:17:51 PM	-0.0005
nu_1_current	08/29/2023  04:18:51 PM	0.0027
ac_1_current	08/29/2023  04:18:51 PM	-0.0005
prism_current	08/29/2023  04:18:51 PM	0.0015
nu_2_current	08/29/2023  04:18:51 PM	-0.0018
