Cycle: (Cycle #)
Experiment #: 7
Proposal ID: 31767
Instrument: HB2D
Experiment Title: Fumi SEMSANS
Session Start Time: 09/06/2023  12:50:01 PM

Parameters Logged:
Device Name	Timestamp	Value
nu_1_current	09/06/2023  01:06:32 PM	0.0026
ac_1_current	09/06/2023  01:06:32 PM	20.0002
prism_current	09/06/2023  01:06:32 PM	21.5481
nu_2_current	09/06/2023  01:06:32 PM	19.9997
ac_2_current	09/06/2023  01:06:32 PM	22.1423
nu_3_current	09/06/2023  01:06:32 PM	-0.0001
nu_1_current	09/06/2023  01:07:32 PM	0.0026
ac_1_current	09/06/2023  01:07:32 PM	20.0002
prism_current	09/06/2023  01:07:32 PM	21.5481
nu_2_current	09/06/2023  01:07:32 PM	19.9997
ac_2_current	09/06/2023  01:07:32 PM	22.1423
nu_3_current	09/06/2023  01:07:32 PM	-0.0003
nu_1_current	09/06/2023  01:08:32 PM	0.0026
ac_1_current	09/06/2023  01:08:32 PM	20.0002
prism_current	09/06/2023  01:08:32 PM	21.5481
nu_2_current	09/06/2023  01:08:32 PM	19.9996
ac_2_current	09/06/2023  01:08:32 PM	22.1423
nu_3_current	09/06/2023  01:08:32 PM	-0.0001
nu_1_current	09/06/2023  01:09:32 PM	0.0027
ac_1_current	09/06/2023  01:09:32 PM	20.0002
prism_current	09/06/2023  01:09:32 PM	21.5481
nu_2_current	09/06/2023  01:09:32 PM	19.9996
ac_2_current	09/06/2023  01:09:32 PM	22.1423
nu_3_current	09/06/2023  01:09:32 PM	-0.0003
nu_1_current	09/06/2023  01:10:32 PM	0.0027
ac_1_current	09/06/2023  01:10:32 PM	20.0002
prism_current	09/06/2023  01:10:32 PM	21.5481
nu_2_current	09/06/2023  01:10:32 PM	19.9996
ac_2_current	09/06/2023  01:10:32 PM	22.1424
nu_3_current	09/06/2023  01:10:32 PM	-0.0001
nu_1_current	09/06/2023  01:11:32 PM	0.0027
ac_1_current	09/06/2023  01:11:32 PM	20.0002
prism_current	09/06/2023  01:11:32 PM	21.5481
nu_2_current	09/06/2023  01:11:32 PM	19.9996
ac_2_current	09/06/2023  01:11:32 PM	22.1423
nu_3_current	09/06/2023  01:11:32 PM	-0.0003
nu_1_current	09/06/2023  01:12:32 PM	0.0027
ac_1_current	09/06/2023  01:12:32 PM	20.0002
prism_current	09/06/2023  01:12:32 PM	21.5481
nu_2_current	09/06/2023  01:12:32 PM	19.9996
ac_2_current	09/06/2023  01:12:32 PM	22.1423
nu_3_current	09/06/2023  01:12:32 PM	-0.0003
nu_1_current	09/06/2023  01:13:32 PM	0.0027
ac_1_current	09/06/2023  01:13:32 PM	20.0003
prism_current	09/06/2023  01:13:32 PM	21.5480
nu_2_current	09/06/2023  01:13:32 PM	19.9996
ac_2_current	09/06/2023  01:13:32 PM	22.1423
nu_3_current	09/06/2023  01:13:32 PM	-0.0002
nu_1_current	09/06/2023  01:14:32 PM	0.0027
ac_1_current	09/06/2023  01:14:32 PM	20.0002
prism_current	09/06/2023  01:14:32 PM	21.5480
nu_2_current	09/06/2023  01:14:32 PM	19.9996
ac_2_current	09/06/2023  01:14:32 PM	22.1423
nu_3_current	09/06/2023  01:14:32 PM	-0.0002
nu_1_current	09/06/2023  01:15:32 PM	0.0027
ac_1_current	09/06/2023  01:15:32 PM	20.0002
prism_current	09/06/2023  01:15:32 PM	21.5481
nu_2_current	09/06/2023  01:15:32 PM	19.9997
ac_2_current	09/06/2023  01:15:32 PM	22.1423
nu_3_current	09/06/2023  01:15:32 PM	-0.0002
nu_1_current	09/06/2023  01:16:32 PM	0.0026
ac_1_current	09/06/2023  01:16:32 PM	20.0002
prism_current	09/06/2023  01:16:32 PM	21.5481
nu_2_current	09/06/2023  01:16:32 PM	19.9997
ac_2_current	09/06/2023  01:16:32 PM	22.1423
nu_3_current	09/06/2023  01:16:32 PM	-0.0002
nu_1_current	09/06/2023  01:17:32 PM	0.0027
ac_1_current	09/06/2023  01:17:32 PM	20.0002
prism_current	09/06/2023  01:17:32 PM	21.5481
nu_2_current	09/06/2023  01:17:32 PM	19.9997
ac_2_current	09/06/2023  01:17:32 PM	22.1423
nu_3_current	09/06/2023  01:17:32 PM	-0.0001
nu_1_current	09/06/2023  01:18:32 PM	0.0026
ac_1_current	09/06/2023  01:18:32 PM	20.0002
prism_current	09/06/2023  01:18:32 PM	21.5481
nu_2_current	09/06/2023  01:18:32 PM	19.9997
ac_2_current	09/06/2023  01:18:32 PM	22.1423
nu_3_current	09/06/2023  01:18:32 PM	-0.0001
nu_1_current	09/06/2023  01:19:33 PM	0.0027
ac_1_current	09/06/2023  01:19:33 PM	20.0002
prism_current	09/06/2023  01:19:33 PM	21.5481
nu_2_current	09/06/2023  01:19:33 PM	19.9997
ac_2_current	09/06/2023  01:19:33 PM	22.1423
nu_3_current	09/06/2023  01:19:33 PM	-0.0003
nu_1_current	09/06/2023  01:20:33 PM	0.0027
ac_1_current	09/06/2023  01:20:33 PM	20.0002
prism_current	09/06/2023  01:20:33 PM	21.5481
nu_2_current	09/06/2023  01:20:33 PM	19.9997
ac_2_current	09/06/2023  01:20:33 PM	22.1423
nu_3_current	09/06/2023  01:20:33 PM	-0.0002
nu_1_current	09/06/2023  01:21:33 PM	0.0026
ac_1_current	09/06/2023  01:21:33 PM	20.0002
prism_current	09/06/2023  01:21:33 PM	21.5481
nu_2_current	09/06/2023  01:21:33 PM	19.9997
ac_2_current	09/06/2023  01:21:33 PM	22.1423
nu_3_current	09/06/2023  01:21:33 PM	-0.0002
nu_1_current	09/06/2023  01:22:33 PM	0.0027
ac_1_current	09/06/2023  01:22:33 PM	20.0002
prism_current	09/06/2023  01:22:33 PM	21.5481
nu_2_current	09/06/2023  01:22:33 PM	19.9997
ac_2_current	09/06/2023  01:22:33 PM	22.1424
nu_3_current	09/06/2023  01:22:33 PM	-0.0003
nu_1_current	09/06/2023  01:23:33 PM	0.0027
ac_1_current	09/06/2023  01:23:33 PM	20.0002
prism_current	09/06/2023  01:23:33 PM	21.5481
nu_2_current	09/06/2023  01:23:33 PM	19.9997
ac_2_current	09/06/2023  01:23:33 PM	22.1424
nu_3_current	09/06/2023  01:23:33 PM	-0.0002
nu_1_current	09/06/2023  01:24:34 PM	0.0026
ac_1_current	09/06/2023  01:24:34 PM	20.0002
prism_current	09/06/2023  01:24:34 PM	21.5481
nu_2_current	09/06/2023  01:24:34 PM	19.9997
ac_2_current	09/06/2023  01:24:34 PM	22.1423
nu_3_current	09/06/2023  01:24:34 PM	-0.0003
nu_1_current	09/06/2023  01:25:34 PM	0.0026
ac_1_current	09/06/2023  01:25:34 PM	20.0002
prism_current	09/06/2023  01:25:34 PM	21.5481
nu_2_current	09/06/2023  01:25:34 PM	19.9997
ac_2_current	09/06/2023  01:25:34 PM	22.1424
nu_3_current	09/06/2023  01:25:34 PM	-0.0001
nu_1_current	09/06/2023  01:26:35 PM	0.0026
ac_1_current	09/06/2023  01:26:35 PM	20.0002
prism_current	09/06/2023  01:26:35 PM	21.5481
nu_2_current	09/06/2023  01:26:35 PM	19.9997
ac_2_current	09/06/2023  01:26:35 PM	22.1424
nu_3_current	09/06/2023  01:26:35 PM	-0.0001
nu_1_current	09/06/2023  01:27:37 PM	0.0026
ac_1_current	09/06/2023  01:27:37 PM	20.0002
prism_current	09/06/2023  01:27:37 PM	21.5481
nu_2_current	09/06/2023  01:27:37 PM	19.9997
ac_2_current	09/06/2023  01:27:37 PM	22.1423
nu_3_current	09/06/2023  01:27:37 PM	-0.0002
nu_1_current	09/06/2023  01:28:37 PM	0.0026
ac_1_current	09/06/2023  01:28:37 PM	20.0002
prism_current	09/06/2023  01:28:37 PM	21.5481
nu_2_current	09/06/2023  01:28:37 PM	19.9997
ac_2_current	09/06/2023  01:28:37 PM	22.1424
nu_3_current	09/06/2023  01:28:37 PM	-0.0001
nu_1_current	09/06/2023  01:29:37 PM	0.0027
ac_1_current	09/06/2023  01:29:37 PM	20.0002
prism_current	09/06/2023  01:29:37 PM	21.5481
nu_2_current	09/06/2023  01:29:37 PM	19.9997
ac_2_current	09/06/2023  01:29:37 PM	22.1424
nu_3_current	09/06/2023  01:29:37 PM	-0.0002
nu_1_current	09/06/2023  01:30:37 PM	0.0026
ac_1_current	09/06/2023  01:30:37 PM	20.0002
prism_current	09/06/2023  01:30:37 PM	21.5481
nu_2_current	09/06/2023  01:30:37 PM	19.9997
ac_2_current	09/06/2023  01:30:37 PM	22.1423
nu_3_current	09/06/2023  01:30:37 PM	-0.0001
nu_1_current	09/06/2023  01:31:38 PM	0.0027
ac_1_current	09/06/2023  01:31:38 PM	20.0002
prism_current	09/06/2023  01:31:38 PM	21.5481
nu_2_current	09/06/2023  01:31:38 PM	19.9997
ac_2_current	09/06/2023  01:31:38 PM	22.1424
nu_3_current	09/06/2023  01:31:38 PM	-0.0001
nu_1_current	09/06/2023  01:32:38 PM	0.0027
ac_1_current	09/06/2023  01:32:38 PM	20.0002
prism_current	09/06/2023  01:32:38 PM	21.5481
nu_2_current	09/06/2023  01:32:38 PM	19.9997
ac_2_current	09/06/2023  01:32:38 PM	22.1423
nu_3_current	09/06/2023  01:32:38 PM	-0.0002
nu_1_current	09/06/2023  01:33:38 PM	0.0026
ac_1_current	09/06/2023  01:33:38 PM	20.0001
prism_current	09/06/2023  01:33:38 PM	21.5481
nu_2_current	09/06/2023  01:33:38 PM	19.9997
ac_2_current	09/06/2023  01:33:38 PM	22.1423
nu_3_current	09/06/2023  01:33:38 PM	-0.0001
nu_1_current	09/06/2023  01:34:38 PM	0.0027
ac_1_current	09/06/2023  01:34:38 PM	20.0002
prism_current	09/06/2023  01:34:38 PM	21.5481
nu_2_current	09/06/2023  01:34:38 PM	19.9997
ac_2_current	09/06/2023  01:34:38 PM	22.1423
nu_3_current	09/06/2023  01:34:38 PM	-0.0003
nu_1_current	09/06/2023  01:35:38 PM	0.0027
ac_1_current	09/06/2023  01:35:38 PM	20.0001
prism_current	09/06/2023  01:35:38 PM	21.5481
nu_2_current	09/06/2023  01:35:38 PM	19.9997
ac_2_current	09/06/2023  01:35:38 PM	22.1423
nu_3_current	09/06/2023  01:35:38 PM	-0.0001
nu_1_current	09/06/2023  01:36:39 PM	0.0027
ac_1_current	09/06/2023  01:36:39 PM	20.0002
prism_current	09/06/2023  01:36:39 PM	21.5481
nu_2_current	09/06/2023  01:36:39 PM	19.9997
ac_2_current	09/06/2023  01:36:39 PM	22.1423
nu_3_current	09/06/2023  01:36:39 PM	-0.0002
nu_1_current	09/06/2023  01:37:39 PM	0.0026
ac_1_current	09/06/2023  01:37:39 PM	20.0001
prism_current	09/06/2023  01:37:39 PM	21.5481
nu_2_current	09/06/2023  01:37:39 PM	19.9997
ac_2_current	09/06/2023  01:37:39 PM	22.1423
nu_3_current	09/06/2023  01:37:39 PM	-0.0001
nu_1_current	09/06/2023  01:38:39 PM	0.0027
ac_1_current	09/06/2023  01:38:39 PM	20.0002
prism_current	09/06/2023  01:38:39 PM	21.5481
nu_2_current	09/06/2023  01:38:39 PM	19.9997
ac_2_current	09/06/2023  01:38:39 PM	22.1423
nu_3_current	09/06/2023  01:38:39 PM	-0.0001
nu_1_current	09/06/2023  01:39:39 PM	0.0027
ac_1_current	09/06/2023  01:39:39 PM	20.0002
prism_current	09/06/2023  01:39:39 PM	21.5481
nu_2_current	09/06/2023  01:39:39 PM	19.9997
ac_2_current	09/06/2023  01:39:39 PM	22.1423
nu_3_current	09/06/2023  01:39:39 PM	-0.0003
nu_1_current	09/06/2023  01:40:39 PM	0.0027
ac_1_current	09/06/2023  01:40:39 PM	20.0002
prism_current	09/06/2023  01:40:39 PM	21.5481
nu_2_current	09/06/2023  01:40:39 PM	19.9997
ac_2_current	09/06/2023  01:40:39 PM	22.1423
nu_3_current	09/06/2023  01:40:39 PM	-0.0003
nu_1_current	09/06/2023  01:41:39 PM	0.0027
ac_1_current	09/06/2023  01:41:39 PM	20.0002
prism_current	09/06/2023  01:41:39 PM	21.5481
nu_2_current	09/06/2023  01:41:39 PM	19.9997
ac_2_current	09/06/2023  01:41:39 PM	22.1423
nu_3_current	09/06/2023  01:41:39 PM	-0.0002
nu_1_current	09/06/2023  01:42:39 PM	0.0027
ac_1_current	09/06/2023  01:42:39 PM	20.0002
prism_current	09/06/2023  01:42:39 PM	21.5481
nu_2_current	09/06/2023  01:42:39 PM	19.9997
ac_2_current	09/06/2023  01:42:39 PM	22.1423
nu_3_current	09/06/2023  01:42:39 PM	-0.0001
nu_1_current	09/06/2023  01:43:40 PM	0.0027
ac_1_current	09/06/2023  01:43:40 PM	20.0002
prism_current	09/06/2023  01:43:40 PM	21.5481
nu_2_current	09/06/2023  01:43:40 PM	19.9997
ac_2_current	09/06/2023  01:43:40 PM	22.1423
nu_3_current	09/06/2023  01:43:40 PM	-0.0002
nu_1_current	09/06/2023  01:44:41 PM	0.0027
ac_1_current	09/06/2023  01:44:41 PM	20.0002
prism_current	09/06/2023  01:44:41 PM	21.5481
nu_2_current	09/06/2023  01:44:41 PM	19.9997
ac_2_current	09/06/2023  01:44:41 PM	22.1423
nu_3_current	09/06/2023  01:44:41 PM	-0.0001
nu_1_current	09/06/2023  01:45:42 PM	0.0027
ac_1_current	09/06/2023  01:45:42 PM	20.0002
prism_current	09/06/2023  01:45:42 PM	21.5480
nu_2_current	09/06/2023  01:45:42 PM	19.9997
ac_2_current	09/06/2023  01:45:42 PM	22.1423
nu_3_current	09/06/2023  01:45:42 PM	-0.0001
nu_1_current	09/06/2023  01:46:43 PM	0.0027
ac_1_current	09/06/2023  01:46:43 PM	20.0002
prism_current	09/06/2023  01:46:43 PM	21.5481
nu_2_current	09/06/2023  01:46:43 PM	19.9997
ac_2_current	09/06/2023  01:46:43 PM	22.1423
nu_3_current	09/06/2023  01:46:43 PM	-0.0001
